iter	Passed	Remaining
1315	12653	1769
1316	12662	1759
1317	12671	1749
1318	12678	1739
1319	12688	1730
1320	12700	1720
1321	12708	1711
1322	12714	1701
1323	12720	1690
1324	12731	1681
1325	12742	1672
1326	12753	1662
1327	12762	1652
1328	12768	1642
1329	12779	1633
1330	12788	1623
1331	12794	1613
1332	12804	1604
1333	12813	1594
1334	12822	1584
1335	12832	1575
1336	12840	1565
1337	12845	1555
1338	12854	1545
1339	12864	1536
1340	12872	1526
1341	12879	1516
1342	12886	1506
1343	12894	1496
1344	12900	1486
1345	12907	1476
1346	12915	1466
1347	12924	1457
1348	12933	1447
1349	12942	1438
1350	12952	1428
1351	12962	1418
1352	12967	1408
1353	12976	1399
1354	12985	1389
1355	12994	1379
1356	13001	1370
1357	13012	1360
1358	13020	1350
1359	13031	1341
1360	13037	1331
1361	13045	1321
1362	13053	1312
1363	13064	1302
1364	13071	1292
1365	13081	1283
1366	13089	1273
1367	13099	1263
1368	13107	1254
1369	13109	1243
1370	13117	1234
1371	13125	1224
1372	13132	1214
1373	13141	1205
1374	13148	1195
1375	13156	1185
1376	13164	1175
1377	13173	1166
1378	13183	1156
1379	13191	1147
1380	13201	1137
1381	13204	1127
1382	13212	1117
1383	13219	1107
1384	13227	1098
1385	13234	1088
1386	13244	1079
1387	13253	1069
1388	13260	1059
1389	13267	1049
1390	13277	1040
1391	13283	1030
1392	13295	1021
1393	13304	1011
1394	13311	1001
1395	13319	992
1396	13326	982
1397	13334	972
1398	13343	963
1399	13353	953
1400	13361	944
1401	13370	934
1402	13380	925
1403	13388	915
1404	13398	905
1405	13406	896
1406	13417	886
1407	13426	877
1408	13437	867
1409	13448	858
1410	13455	848
1411	13466	839
1412	13477	829
1413	13486	820
1414	13496	810
1415	13506	801
1416	13513	791
1417	13523	782
1418	13533	772
1419	13541	762
1420	13551	753
1421	13560	743
1422	13570	734
1423	13579	724
1424	13589	715
1425	13599	705
1426	13607	696
1427	13615	686
1428	13623	676
1429	13630	667
1430	13639	657
1431	13650	648
1432	13657	638
1433	13665	628
1434	13672	619
1435	13681	609
1436	13688	600
1437	13696	590
1438	13706	581
1439	13716	571
1440	13727	562
1441	13734	552
1442	13741	542
1443	13751	533
1444	13761	523
1445	13768	514
1446	13776	504
1447	13784	495
1448	13792	485
1449	13799	475
1450	13808	466
1451	13816	456
1452	13821	447
1453	13830	437
1454	13836	427
1455	13844	418
1456	13851	408
1457	13860	399
1458	13867	389
1459	13875	380
1460	13883	370
1461	13890	361
1462	13896	351
1463	13904	341
1464	13912	332
1465	13921	322
1466	13925	313
1467	13933	303
1468	13943	294
1469	13951	284
1470	13962	275
1471	13972	265
1472	13981	256
1473	13987	246
1474	13994	237
1475	14003	227
1476	14013	218
1477	14023	208
1478	14032	199
1479	14039	189
1480	14049	180
1481	14059	170
1482	14067	161
1483	14076	151
1484	14084	142
1485	14092	132
1486	14100	123
1487	14107	113
1488	14115	104
1489	14122	94
1490	14132	85
1491	14141	75
1492	14150	66
1493	14159	56
1494	14168	47
1495	14178	37
1496	14183	28
1497	14191	18
1498	14197	9
1499	14208	0
